ID_compra,fecha_compra,ingrediente,cantidad,unidad,precio_unitario
C0045,2025-11-15,Leche,0.204,L,1980.43
C0046,2025-11-15,Grasa de cerdo,0.163,kg,6259.85
C0047,2025-11-15,Azucar,0.245,kg,1426.55
C0048,2025-11-15,Sal fina,0.041,kg,560.89
C0049,2025-11-15,Sal gruesa,0.025,kg,482.54
C0050,2025-11-15,Canela,0.002,kg,32408.54
C0051,2025-11-15,Albahaca,0.004,kg,5075.9
C0052,2025-11-15,Leña,0.163,m2,41990.96
C0053,2025-12-03,Maiz pelado amarillo,4.83,kg,2583.55
C0054,2025-12-03,Carne de vaca,2.76,kg,19748.31
C0055,2025-12-03,Carne de cerdo,2.76,kg,7054.92
C0056,2025-12-03,Cebolla,3.45,kg,631.01
C0057,2025-12-03,Papa,3.45,kg,989.19
C0058,2025-12-03,Grasa de cerdo,0.549,kg,6768.98
C0059,2025-12-03,Azucar,0.138,kg,1595.16
C0060,2025-12-03,Sal fina,0.131,kg,560.33
C0061,2025-12-03,Sal gruesa,0.124,kg,470.54
C0062,2025-12-03,Caldo de gallina,4.83,unidad,151.4
C0063,2025-12-03,Pimienta blanca,0.028,kg,6276.84
C0064,2025-12-03,Comino,0.017,kg,6411.86
C0065,2025-12-03,Aji locoto,0.035,kg,18738.32
C0066,2025-12-03,Pimenton rojo,0.069,kg,6509.74
C0067,2025-12-03,Hojas de chala,1.38,kg,23177.9
C0068,2025-12-03,Leña,0.517,m2,36379.83
C0069,2025-12-03,Choclo blanco,33.75,unidad,476.34
C0070,2025-12-03,Queso de mesa,0.675,kg,10586.83
C0071,2025-12-03,Leche,0.338,L,1878.49
C0072,2025-12-03,Grasa de cerdo,0.27,kg,7048.7
C0073,2025-12-03,Azucar,0.405,kg,1517.58
C0074,2025-12-03,Sal fina,0.067,kg,581.23
C0075,2025-12-03,Sal gruesa,0.041,kg,502.08
C0076,2025-12-03,Canela,0.004,kg,35878.01
C0077,2025-12-03,Albahaca,0.007,kg,5345.5
C0078,2025-12-03,Leña,0.27,m2,38874.93
C0079,2025-12-15,Maiz pelado amarillo,3.477,kg,2555.54
C0080,2025-12-15,Carne de vaca,1.987,kg,18715.16
C0081,2025-12-15,Carne de cerdo,1.987,kg,6420.36
C0082,2025-12-15,Cebolla,2.483,kg,688.79
C0083,2025-12-15,Papa,2.483,kg,925.15
C0084,2025-12-15,Grasa de cerdo,0.395,kg,7145.46
C0085,2025-12-15,Azucar,0.099,kg,1464.25
C0086,2025-12-15,Sal fina,0.094,kg,650.24
C0087,2025-12-15,Sal gruesa,0.089,kg,532.69
C0088,2025-12-15,Caldo de gallina,3.477,unidad,182.26
C0089,2025-12-15,Pimienta blanca,0.02,kg,5870.52
C0090,2025-12-15,Comino,0.012,kg,6132.08
C0091,2025-12-15,Aji locoto,0.025,kg,18525.65
C0092,2025-12-15,Pimenton rojo,0.05,kg,5620.88
C0093,2025-12-15,Hojas de chala,0.993,kg,22974.24
C0094,2025-12-15,Leña,0.372,m2,40095.18
C0095,2025-12-15,Choclo blanco,22.917,unidad,434.42
C0096,2025-12-15,Queso de mesa,0.458,kg,11343.63
C0097,2025-12-15,Leche,0.229,L,2192.99
C0098,2025-12-15,Grasa de cerdo,0.183,kg,6764.9
C0099,2025-12-15,Azucar,0.275,kg,1383.41
C0100,2025-12-15,Sal fina,0.046,kg,635.09
C0101,2025-12-15,Sal gruesa,0.028,kg,451.01
C0102,2025-12-15,Canela,0.003,kg,33078.45
C0103,2025-12-15,Albahaca,0.005,kg,5392.11
C0104,2025-12-15,Leña,0.183,m2,42167.3
C0105,2025-12-25,Maiz pelado amarillo,4.223,kg,2416.51
C0106,2025-12-25,Carne de vaca,2.413,kg,19307.61
C0107,2025-12-25,Carne de cerdo,2.413,kg,6845.69
C0108,2025-12-25,Cebolla,3.017,kg,670.9
C0109,2025-12-25,Papa,3.017,kg,1079.17
C0110,2025-12-25,Grasa de cerdo,0.48,kg,7131.39
C0111,2025-12-25,Azucar,0.121,kg,1585.84
C0112,2025-12-25,Sal fina,0.115,kg,575.37
C0113,2025-12-25,Sal gruesa,0.109,kg,477.46
C0114,2025-12-25,Caldo de gallina,4.223,unidad,171.88
C0115,2025-12-25,Pimienta blanca,0.024,kg,5721.98
C0116,2025-12-25,Comino,0.014,kg,5919.97
C0117,2025-12-25,Aji locoto,0.03,kg,18071.66
C0118,2025-12-25,Pimenton rojo,0.06,kg,5894.99
C0119,2025-12-25,Hojas de chala,1.207,kg,21872.33
C0120,2025-12-25,Leña,0.453,m2,42393.02
C0121,2025-12-25,Choclo blanco,34.583,unidad,470.34
C0122,2025-12-25,Queso de mesa,0.692,kg,11366.73
C0123,2025-12-25,Leche,0.346,L,2043.25
C0124,2025-12-25,Grasa de cerdo,0.277,kg,7189.86
C0125,2025-12-25,Azucar,0.415,kg,1614.6
C0126,2025-12-25,Sal fina,0.069,kg,654.9
C0127,2025-12-25,Sal gruesa,0.042,kg,526.02
C0128,2025-12-25,Canela,0.004,kg,31657.47
C0129,2025-12-25,Albahaca,0.007,kg,5357.18
C0130,2025-12-25,Leña,0.277,m2,37296.79
C0131,2026-01-08,Maiz pelado amarillo,5.017,kg,2544.98
C0132,2026-01-08,Carne de vaca,2.867,kg,20791.16
C0133,2026-01-08,Carne de cerdo,2.867,kg,6419.77
C0134,2026-01-08,Cebolla,3.583,kg,639.44
C0135,2026-01-08,Papa,3.583,kg,1004.17
C0136,2026-01-08,Grasa de cerdo,0.57,kg,6613.35
C0137,2026-01-08,Azucar,0.143,kg,1387.44
C0138,2026-01-08,Sal fina,0.136,kg,599.45
C0139,2026-01-08,Sal gruesa,0.129,kg,451.94
C0140,2026-01-08,Caldo de gallina,5.017,unidad,160.67
C0141,2026-01-08,Pimienta blanca,0.029,kg,6087.28
C0142,2026-01-08,Comino,0.017,kg,5635.53
C0143,2026-01-08,Aji locoto,0.036,kg,20210.15
C0144,2026-01-08,Pimenton rojo,0.072,kg,5767.7
C0145,2026-01-08,Hojas de chala,1.433,kg,23059.1
C0146,2026-01-08,Leña,0.537,m2,41197.05
C0147,2026-01-08,Choclo blanco,30.417,unidad,429.76
C0148,2026-01-08,Queso de mesa,0.608,kg,12000.27
C0149,2026-01-08,Leche,0.304,L,1964.58
C0150,2026-01-08,Grasa de cerdo,0.243,kg,6542.78
C0151,2026-01-08,Azucar,0.365,kg,1630.99
C0152,2026-01-08,Sal fina,0.061,kg,573.8
C0153,2026-01-08,Sal gruesa,0.036,kg,467.95
C0154,2026-01-08,Canela,0.004,kg,30077.58
C0155,2026-01-08,Albahaca,0.006,kg,4662.0
C0156,2026-01-08,Leña,0.243,m2,40095.44
C0157,2026-01-23,Maiz pelado amarillo,4.153,kg,2550.81
C0158,2026-01-23,Carne de vaca,2.373,kg,20064.97
C0159,2026-01-23,Carne de cerdo,2.373,kg,6883.99
C0160,2026-01-23,Cebolla,2.967,kg,693.42
C0161,2026-01-23,Papa,2.967,kg,989.94
C0162,2026-01-23,Grasa de cerdo,0.472,kg,7120.96
C0163,2026-01-23,Azucar,0.119,kg,1403.66
C0164,2026-01-23,Sal fina,0.113,kg,592.54
C0165,2026-01-23,Sal gruesa,0.107,kg,466.66
C0166,2026-01-23,Caldo de gallina,4.153,unidad,164.18
C0167,2026-01-23,Pimienta blanca,0.024,kg,6542.68
C0168,2026-01-23,Comino,0.014,kg,6137.0
C0169,2026-01-23,Aji locoto,0.03,kg,20587.78
C0170,2026-01-23,Pimenton rojo,0.059,kg,5955.83
C0171,2026-01-23,Hojas de chala,1.187,kg,21599.5
C0172,2026-01-23,Leña,0.445,m2,41134.84
C0173,2026-01-23,Choclo blanco,30.833,unidad,424.25
C0174,2026-01-23,Queso de mesa,0.617,kg,11406.19
C0175,2026-01-23,Leche,0.308,L,2018.76
C0176,2026-01-23,Grasa de cerdo,0.247,kg,7193.43
C0177,2026-01-23,Azucar,0.37,kg,1539.13
C0178,2026-01-23,Sal fina,0.062,kg,646.16
C0179,2026-01-23,Sal gruesa,0.037,kg,472.0
C0180,2026-01-23,Canela,0.004,kg,31435.09
C0181,2026-01-23,Albahaca,0.006,kg,5205.46
C0182,2026-01-23,Leña,0.247,m2,38665.95
C0183,2026-02-02,Maiz pelado amarillo,4.41,kg,2375.86
C0184,2026-02-02,Carne de vaca,2.52,kg,19035.2
C0185,2026-02-02,Carne de cerdo,2.52,kg,6383.97
C0186,2026-02-02,Cebolla,3.15,kg,728.62
C0187,2026-02-02,Papa,3.15,kg,973.25
C0188,2026-02-02,Grasa de cerdo,0.501,kg,6790.91
C0189,2026-02-02,Azucar,0.126,kg,1376.34
C0190,2026-02-02,Sal fina,0.12,kg,635.56
C0191,2026-02-02,Sal gruesa,0.113,kg,507.11
C0192,2026-02-02,Caldo de gallina,4.41,unidad,180.04
C0193,2026-02-02,Pimienta blanca,0.025,kg,6291.6
C0194,2026-02-02,Comino,0.015,kg,5574.61
C0195,2026-02-02,Aji locoto,0.032,kg,18649.54
C0196,2026-02-02,Pimenton rojo,0.063,kg,5570.49
C0197,2026-02-02,Hojas de chala,1.26,kg,23380.95
C0198,2026-02-02,Leña,0.473,m2,42132.39
C0199,2026-02-02,Choclo blanco,31.25,unidad,459.06
C0200,2026-02-02,Queso de mesa,0.625,kg,10464.51
C0201,2026-02-02,Leche,0.313,L,2017.42
C0202,2026-02-02,Grasa de cerdo,0.25,kg,7068.8
C0203,2026-02-02,Azucar,0.375,kg,1512.49
C0204,2026-02-02,Sal fina,0.062,kg,607.27
C0205,2026-02-02,Sal gruesa,0.037,kg,516.48
C0206,2026-02-02,Canela,0.004,kg,33726.39
C0207,2026-02-02,Albahaca,0.006,kg,4656.75
C0208,2026-02-02,Leña,0.25,m2,37101.56
C0209,2026-02-18,Maiz pelado amarillo,3.733,kg,2490.92
C0210,2026-02-18,Carne de vaca,2.133,kg,18605.91
C0211,2026-02-18,Carne de cerdo,2.133,kg,6983.07
C0212,2026-02-18,Cebolla,2.667,kg,678.14
C0213,2026-02-18,Papa,2.667,kg,1045.07
C0214,2026-02-18,Grasa de cerdo,0.424,kg,6234.38
C0215,2026-02-18,Azucar,0.107,kg,1628.26
C0216,2026-02-18,Sal fina,0.101,kg,560.78
C0217,2026-02-18,Sal gruesa,0.096,kg,540.68
C0218,2026-02-18,Caldo de gallina,3.733,unidad,173.48
C0219,2026-02-18,Pimienta blanca,0.021,kg,5758.74
C0220,2026-02-18,Comino,0.013,kg,5722.71
C0221,2026-02-18,Aji locoto,0.027,kg,19198.67
C0222,2026-02-18,Pimenton rojo,0.053,kg,5472.74
C0223,2026-02-18,Hojas de chala,1.067,kg,23217.43
C0224,2026-02-18,Leña,0.4,m2,42328.53
C0225,2026-02-18,Choclo blanco,33.333,unidad,480.31
C0226,2026-02-18,Queso de mesa,0.667,kg,9985.67
C0227,2026-02-18,Leche,0.333,L,1917.99
C0228,2026-02-18,Grasa de cerdo,0.267,kg,6105.68
C0229,2026-02-18,Azucar,0.4,kg,1385.39
C0230,2026-02-18,Sal fina,0.067,kg,580.08
C0231,2026-02-18,Sal gruesa,0.04,kg,470.45
C0232,2026-02-18,Canela,0.004,kg,30464.22
C0233,2026-02-18,Albahaca,0.007,kg,4787.51
C0234,2026-02-18,Leña,0.267,m2,38386.13
C0235,2026-03-02,Maiz pelado amarillo,4.62,kg,2287.63
C0236,2026-03-02,Carne de vaca,2.64,kg,19919.64
C0237,2026-03-02,Carne de cerdo,2.64,kg,7076.07
C0238,2026-03-02,Cebolla,3.3,kg,685.09
C0239,2026-03-02,Papa,3.3,kg,1014.83
C0240,2026-03-02,Grasa de cerdo,0.525,kg,6361.4
C0241,2026-03-02,Azucar,0.132,kg,1454.2
C0242,2026-03-02,Sal fina,0.125,kg,595.68
C0243,2026-03-02,Sal gruesa,0.119,kg,498.12
C0244,2026-03-02,Caldo de gallina,4.62,unidad,155.34
C0245,2026-03-02,Pimienta blanca,0.026,kg,5751.8
C0246,2026-03-02,Comino,0.016,kg,5681.12
C0247,2026-03-02,Aji locoto,0.033,kg,21853.9
C0248,2026-03-02,Pimenton rojo,0.066,kg,5437.11
C0249,2026-03-02,Hojas de chala,1.32,kg,20445.36
C0250,2026-03-02,Leña,0.495,m2,42240.7
C0251,2026-03-02,Choclo blanco,32.5,unidad,430.15
C0252,2026-03-02,Queso de mesa,0.65,kg,10625.67
C0253,2026-03-02,Leche,0.325,L,1818.79
C0254,2026-03-02,Grasa de cerdo,0.26,kg,6726.9
C0255,2026-03-02,Azucar,0.39,kg,1473.78
C0256,2026-03-02,Sal fina,0.065,kg,562.62
C0257,2026-03-02,Sal gruesa,0.039,kg,525.46
C0258,2026-03-02,Canela,0.004,kg,30570.94
C0259,2026-03-02,Albahaca,0.006,kg,5383.01
C0260,2026-03-02,Leña,0.26,m2,40337.19
C0261,2026-03-15,Maiz pelado amarillo,4.177,kg,2408.83
C0262,2026-03-15,Carne de vaca,2.387,kg,20236.51
C0263,2026-03-15,Carne de cerdo,2.387,kg,7559.84
C0264,2026-03-15,Cebolla,2.983,kg,639.08
C0265,2026-03-15,Papa,2.983,kg,953.42
C0266,2026-03-15,Grasa de cerdo,0.474,kg,7005.99
C0267,2026-03-15,Azucar,0.119,kg,1506.75
C0268,2026-03-15,Sal fina,0.113,kg,628.09
C0269,2026-03-15,Sal gruesa,0.107,kg,527.17
C0270,2026-03-15,Caldo de gallina,4.177,unidad,174.6
C0271,2026-03-15,Pimienta blanca,0.024,kg,5452.4
C0272,2026-03-15,Comino,0.014,kg,5933.93
C0273,2026-03-15,Aji locoto,0.03,kg,18954.08
C0274,2026-03-15,Pimenton rojo,0.06,kg,6488.83
C0275,2026-03-15,Hojas de chala,1.193,kg,21250.69
C0276,2026-03-15,Leña,0.448,m2,42506.34
C0277,2026-03-15,Choclo blanco,35.417,unidad,433.75
C0278,2026-03-15,Queso de mesa,0.708,kg,11330.34
C0279,2026-03-15,Leche,0.354,L,2102.99
C0280,2026-03-15,Grasa de cerdo,0.283,kg,7162.68
C0281,2026-03-15,Azucar,0.425,kg,1382.33
C0282,2026-03-15,Sal fina,0.071,kg,648.43
C0283,2026-03-15,Sal gruesa,0.043,kg,515.11
C0284,2026-03-15,Canela,0.004,kg,30938.68
C0285,2026-03-15,Albahaca,0.007,kg,4789.19
C0286,2026-03-15,Leña,0.283,m2,41046.64
C0287,2026-03-26,Maiz pelado amarillo,3.453,kg,2380.09
C0288,2026-03-26,Carne de vaca,1.973,kg,18602.14
C0289,2026-03-26,Carne de cerdo,1.973,kg,7011.18
C0290,2026-03-26,Cebolla,2.467,kg,605.59
C0291,2026-03-26,Papa,2.467,kg,1067.94
C0292,2026-03-26,Grasa de cerdo,0.392,kg,6590.26
C0293,2026-03-26,Azucar,0.099,kg,1552.04
C0294,2026-03-26,Sal fina,0.094,kg,610.65
C0295,2026-03-26,Sal gruesa,0.089,kg,451.98
C0296,2026-03-26,Caldo de gallina,3.453,unidad,179.11
C0297,2026-03-26,Pimienta blanca,0.02,kg,6007.13
C0298,2026-03-26,Comino,0.012,kg,5921.48
C0299,2026-03-26,Aji locoto,0.025,kg,20398.86
C0300,2026-03-26,Pimenton rojo,0.049,kg,6029.49
C0301,2026-03-26,Hojas de chala,0.987,kg,21740.59
C0302,2026-03-26,Leña,0.37,m2,37397.22
C0303,2026-03-26,Choclo blanco,23.333,unidad,425.22
C0304,2026-03-26,Queso de mesa,0.467,kg,10419.78
C0305,2026-03-26,Leche,0.233,L,2113.73
C0306,2026-03-26,Grasa de cerdo,0.187,kg,6714.56
C0307,2026-03-26,Azucar,0.28,kg,1424.59
C0308,2026-03-26,Sal fina,0.047,kg,565.74
C0309,2026-03-26,Sal gruesa,0.028,kg,535.95
C0310,2026-03-26,Canela,0.003,kg,33796.48
C0311,2026-03-26,Albahaca,0.005,kg,5088.78
C0312,2026-03-26,Leña,0.187,m2,37564.48
C0313,2026-04-07,Maiz pelado amarillo,4.69,kg,2324.1
C0314,2026-04-07,Carne de vaca,2.68,kg,19419.96
C0315,2026-04-07,Carne de cerdo,2.68,kg,6760.55
C0316,2026-04-07,Cebolla,3.35,kg,703.59
C0317,2026-04-07,Papa,3.35,kg,925.81
C0318,2026-04-07,Grasa de cerdo,0.533,kg,6682.02
C0319,2026-04-07,Azucar,0.134,kg,1430.24
C0320,2026-04-07,Sal fina,0.127,kg,586.79
C0321,2026-04-07,Sal gruesa,0.121,kg,511.09
C0322,2026-04-07,Caldo de gallina,4.69,unidad,165.69
C0323,2026-04-07,Pimienta blanca,0.027,kg,5911.29
C0324,2026-04-07,Comino,0.016,kg,6566.99
C0325,2026-04-07,Aji locoto,0.034,kg,20488.04
C0326,2026-04-07,Pimenton rojo,0.067,kg,6404.57
C0327,2026-04-07,Hojas de chala,1.34,kg,22567.86
C0328,2026-04-07,Leña,0.503,m2,43246.55
C0329,2026-04-07,Choclo blanco,36.25,unidad,450.94
C0330,2026-04-07,Queso de mesa,0.725,kg,12020.43
C0331,2026-04-07,Leche,0.363,L,1862.12
C0332,2026-04-07,Grasa de cerdo,0.29,kg,6004.18
C0333,2026-04-07,Azucar,0.435,kg,1420.77
C0334,2026-04-07,Sal fina,0.072,kg,601.99
C0335,2026-04-07,Sal gruesa,0.044,kg,473.25
C0336,2026-04-07,Canela,0.004,kg,33885.26
C0337,2026-04-07,Albahaca,0.007,kg,4502.23
C0338,2026-04-07,Leña,0.29,m2,40112.04
C0339,2026-04-22,Maiz pelado amarillo,2.963,kg,2640.78
C0340,2026-04-22,Carne de vaca,1.693,kg,20221.28
C0341,2026-04-22,Carne de cerdo,1.693,kg,7280.45
C0342,2026-04-22,Cebolla,2.117,kg,709.35
C0343,2026-04-22,Papa,2.117,kg,989.79
C0344,2026-04-22,Grasa de cerdo,0.337,kg,6516.08
C0345,2026-04-22,Azucar,0.085,kg,1649.67
C0346,2026-04-22,Sal fina,0.08,kg,541.39
C0347,2026-04-22,Sal gruesa,0.076,kg,495.8
C0348,2026-04-22,Caldo de gallina,2.963,unidad,176.74
C0349,2026-04-22,Pimienta blanca,0.017,kg,5486.14
C0350,2026-04-22,Comino,0.01,kg,5785.78
C0351,2026-04-22,Aji locoto,0.021,kg,20075.68
C0352,2026-04-22,Pimenton rojo,0.042,kg,5529.83
C0353,2026-04-22,Hojas de chala,0.847,kg,20698.66
C0354,2026-04-22,Leña,0.318,m2,40992.12
C0355,2026-04-22,Choclo blanco,27.083,unidad,472.4
C0356,2026-04-22,Queso de mesa,0.542,kg,11474.96
C0357,2026-04-22,Leche,0.271,L,1911.38
C0358,2026-04-22,Grasa de cerdo,0.217,kg,6335.98
C0359,2026-04-22,Azucar,0.325,kg,1649.21
C0360,2026-04-22,Sal fina,0.054,kg,548.83
C0361,2026-04-22,Sal gruesa,0.033,kg,502.71
C0362,2026-04-22,Canela,0.003,kg,31430.83
C0363,2026-04-22,Albahaca,0.005,kg,4615.89
C0364,2026-04-22,Leña,0.217,m2,40977.71
C0365,2026-05-05,Maiz pelado amarillo,3.78,kg,2350.81
C0366,2026-05-05,Carne de vaca,2.16,kg,17169.97
C0367,2026-05-05,Carne de cerdo,2.16,kg,6658.76
C0368,2026-05-05,Cebolla,2.7,kg,717.97
C0369,2026-05-05,Papa,2.7,kg,1019.32
C0370,2026-05-05,Grasa de cerdo,0.429,kg,6580.72
C0371,2026-05-05,Azucar,0.108,kg,1626.25
C0372,2026-05-05,Sal fina,0.103,kg,633.99
C0373,2026-05-05,Sal gruesa,0.097,kg,537.5
C0374,2026-05-05,Caldo de gallina,3.78,unidad,156.77
C0375,2026-05-05,Pimienta blanca,0.022,kg,5930.78
C0376,2026-05-05,Comino,0.013,kg,5714.12
C0377,2026-05-05,Aji locoto,0.027,kg,21119.53
C0378,2026-05-05,Pimenton rojo,0.054,kg,6553.28
C0379,2026-05-05,Hojas de chala,1.08,kg,21721.46
C0380,2026-05-05,Leña,0.405,m2,41375.72
C0381,2026-05-05,Choclo blanco,32.5,unidad,396.98
C0382,2026-05-05,Queso de mesa,0.65,kg,11658.83
C0383,2026-05-05,Leche,0.325,L,2092.49
C0384,2026-05-05,Grasa de cerdo,0.26,kg,6106.14
C0385,2026-05-05,Azucar,0.39,kg,1521.97
C0386,2026-05-05,Sal fina,0.065,kg,649.06
C0387,2026-05-05,Sal gruesa,0.039,kg,532.49
C0388,2026-05-05,Canela,0.004,kg,34247.55
C0389,2026-05-05,Albahaca,0.006,kg,5281.22
C0390,2026-05-05,Leña,0.26,m2,42068.61
C0391,2026-05-21,Maiz pelado amarillo,3.337,kg,2454.13
C0392,2026-05-21,Carne de vaca,1.907,kg,18955.79
C0393,2026-05-21,Carne de cerdo,1.907,kg,6795.53
C0394,2026-05-21,Cebolla,2.383,kg,703.74
C0395,2026-05-21,Papa,2.383,kg,926.24
C0396,2026-05-21,Grasa de cerdo,0.379,kg,6901.96
C0397,2026-05-21,Azucar,0.095,kg,1502.04
C0398,2026-05-21,Sal fina,0.091,kg,565.99
C0399,2026-05-21,Sal gruesa,0.086,kg,537.72
C0400,2026-05-21,Caldo de gallina,3.337,unidad,174.59
C0401,2026-05-21,Pimienta blanca,0.019,kg,6462.22
C0402,2026-05-21,Comino,0.011,kg,6165.93
C0403,2026-05-21,Aji locoto,0.024,kg,20583.91
C0404,2026-05-21,Pimenton rojo,0.048,kg,6142.75
C0405,2026-05-21,Hojas de chala,0.953,kg,22057.32
C0406,2026-05-21,Leña,0.357,m2,38396.44
C0407,2026-05-21,Choclo blanco,25.417,unidad,448.23
C0408,2026-05-21,Queso de mesa,0.508,kg,11787.22
C0409,2026-05-21,Leche,0.254,L,1928.6
C0410,2026-05-21,Grasa de cerdo,0.203,kg,6807.99
C0411,2026-05-21,Azucar,0.305,kg,1471.97
C0412,2026-05-21,Sal fina,0.051,kg,649.76
C0413,2026-05-21,Sal gruesa,0.03,kg,525.36
C0414,2026-05-21,Canela,0.003,kg,36176.66
C0415,2026-05-21,Albahaca,0.005,kg,4800.22
C0416,2026-05-21,Leña,0.203,m2,36650.93
C0417,2026-06-03,Maiz pelado amarillo,3.687,kg,2569.12
C0418,2026-06-03,Carne de vaca,2.107,kg,19914.3
C0419,2026-06-03,Carne de cerdo,2.107,kg,7359.99
C0420,2026-06-03,Cebolla,2.633,kg,616.86
C0421,2026-06-03,Papa,2.633,kg,1045.79
C0422,2026-06-03,Grasa de cerdo,0.419,kg,6338.77
C0423,2026-06-03,Azucar,0.105,kg,1374.4
C0424,2026-06-03,Sal fina,0.1,kg,615.09
C0425,2026-06-03,Sal gruesa,0.095,kg,544.92
C0426,2026-06-03,Caldo de gallina,3.687,unidad,171.74
C0427,2026-06-03,Pimienta blanca,0.021,kg,5637.7
C0428,2026-06-03,Comino,0.013,kg,6364.18
C0429,2026-06-03,Aji locoto,0.026,kg,19315.61
C0430,2026-06-03,Pimenton rojo,0.053,kg,5506.76
C0431,2026-06-03,Hojas de chala,1.053,kg,21280.1
C0432,2026-06-03,Leña,0.395,m2,36285.25
C0433,2026-06-03,Choclo blanco,24.167,unidad,427.29
C0434,2026-06-03,Queso de mesa,0.483,kg,9945.99
C0435,2026-06-03,Leche,0.242,L,2011.39
C0436,2026-06-03,Grasa de cerdo,0.193,kg,6565.43
C0437,2026-06-03,Azucar,0.29,kg,1473.48
C0438,2026-06-03,Sal fina,0.048,kg,625.34
C0439,2026-06-03,Sal gruesa,0.029,kg,516.44
C0440,2026-06-03,Canela,0.003,kg,36236.88
C0441,2026-06-03,Albahaca,0.005,kg,5205.65
C0442,2026-06-03,Leña,0.193,m2,39150.99
C0443,2026-06-21,Maiz pelado amarillo,3.5,kg,2305.94
C0444,2026-06-21,Carne de vaca,2.0,kg,18825.89
C0445,2026-06-21,Carne de cerdo,2.0,kg,7639.19
C0446,2026-06-21,Cebolla,2.5,kg,654.29
C0447,2026-06-21,Papa,2.5,kg,948.68
C0448,2026-06-21,Grasa de cerdo,0.398,kg,7073.32
C0449,2026-06-21,Azucar,0.1,kg,1618.54
C0450,2026-06-21,Sal fina,0.095,kg,651.88
C0451,2026-06-21,Sal gruesa,0.09,kg,532.23
C0452,2026-06-21,Caldo de gallina,3.5,unidad,161.37
C0453,2026-06-21,Pimienta blanca,0.02,kg,6351.3
C0454,2026-06-21,Comino,0.012,kg,5674.59
C0455,2026-06-21,Aji locoto,0.025,kg,18341.73
C0456,2026-06-21,Pimenton rojo,0.05,kg,6009.68
C0457,2026-06-21,Hojas de chala,1.0,kg,23968.5
C0458,2026-06-21,Leña,0.375,m2,42804.05
C0459,2026-06-21,Choclo blanco,22.5,unidad,452.72
C0460,2026-06-21,Queso de mesa,0.45,kg,10587.61
C0461,2026-06-21,Leche,0.225,L,2099.85
C0462,2026-06-21,Grasa de cerdo,0.18,kg,6645.74
C0463,2026-06-21,Azucar,0.27,kg,1450.01
C0464,2026-06-21,Sal fina,0.045,kg,619.05
C0465,2026-06-21,Sal gruesa,0.027,kg,533.96
C0466,2026-06-21,Canela,0.003,kg,33091.47
C0467,2026-06-21,Albahaca,0.004,kg,5323.3
C0468,2026-06-21,Leña,0.18,m2,41863.37
